id,from,at,to,open,close,min,max,volume
5267398,2024-11-14 18:54:00,1731610470000000000,1731610470,0.58696,0.586985,0.586905,0.586985,49
5267399,2024-11-14 18:54:30,1731610500000000000,1731610500,0.586985,0.586965,0.586955,0.587015,28
5267400,2024-11-14 18:55:00,1731610530001617577,1731610530,0.586965,0.5869,0.58688,0.586965,41
5267401,2024-11-14 18:55:30,1731610560000000000,1731610560,0.586895,0.586845,0.586845,0.5869,29
5267402,2024-11-14 18:56:00,1731610590000000000,1731610590,0.586845,0.586795,0.586765,0.586845,106
5267403,2024-11-14 18:56:30,1731610620000000000,1731610620,0.586815,0.586785,0.58677,0.58682,35
5267404,2024-11-14 18:57:00,1731610650000000000,1731610650,0.586775,0.58675,0.586725,0.586775,58
5267405,2024-11-14 18:57:30,1731610680000000000,1731610680,0.586745,0.5868,0.586745,0.58686,45
5267406,2024-11-14 18:58:00,1731610710000000000,1731610710,0.5868,0.586785,0.586785,0.586845,53
5267407,2024-11-14 18:58:30,1731610740000000000,1731610740,0.58678,0.58674,0.586725,0.58678,69
5267408,2024-11-14 18:59:00,1731610770000000000,1731610770,0.586735,0.586785,0.58673,0.586785,46
5267409,2024-11-14 18:59:30,1731610800002107821,1731610800,0.58678,0.586725,0.586705,0.58678,69
5267410,2024-11-14 19:00:00,1731610830000000000,1731610830,0.58673,0.586825,0.586725,0.586835,38
5267411,2024-11-14 19:00:30,1731610860000000000,1731610860,0.586825,0.58687,0.586815,0.58689,38
5267412,2024-11-14 19:01:00,1731610890000000000,1731610890,0.586875,0.58684,0.58684,0.5869,54
5267413,2024-11-14 19:01:30,1731610920000000000,1731610920,0.58684,0.58684,0.58684,0.586865,30
5267414,2024-11-14 19:02:00,1731610950002751086,1731610950,0.58684,0.58675,0.58675,0.586865,98
5267415,2024-11-14 19:02:30,1731610980000000000,1731610980,0.586765,0.58677,0.58675,0.586795,42
5267416,2024-11-14 19:03:00,1731611010000000000,1731611010,0.586765,0.58697,0.586765,0.58697,49
5267417,2024-11-14 19:03:30,1731611040000000000,1731611040,0.58697,0.58701,0.58694,0.58702,31
5267418,2024-11-14 19:04:00,1731611070000000000,1731611070,0.587015,0.58701,0.586975,0.587015,31
5267419,2024-11-14 19:04:30,1731611100005223687,1731611100,0.587015,0.58703,0.587015,0.58706,24
5267420,2024-11-14 19:05:00,1731611130000000000,1731611130,0.58703,0.587105,0.587025,0.587115,45
5267421,2024-11-14 19:05:30,1731611160000000000,1731611160,0.587105,0.587085,0.58708,0.587115,34
5267422,2024-11-14 19:06:00,1731611190000000000,1731611190,0.58708,0.587115,0.587055,0.58712,32
5267423,2024-11-14 19:06:30,1731611220000000000,1731611220,0.587105,0.587055,0.587055,0.587105,16
5267424,2024-11-14 19:07:00,1731611250000000000,1731611250,0.587055,0.587125,0.587055,0.58713,33
5267425,2024-11-14 19:07:30,1731611280000000000,1731611280,0.587125,0.587115,0.58711,0.58717,30
5267426,2024-11-14 19:08:00,1731611310000000000,1731611310,0.587115,0.5871,0.58709,0.587165,47
5267427,2024-11-14 19:08:30,1731611340000000000,1731611340,0.5871,0.587045,0.587045,0.5871,28
5267428,2024-11-14 19:09:00,1731611370000000000,1731611370,0.587035,0.587,0.586985,0.587065,35
5267429,2024-11-14 19:09:30,1731611400000000000,1731611400,0.587,0.586975,0.586965,0.58701,28
5267430,2024-11-14 19:10:00,1731611430000000000,1731611430,0.586975,0.5869,0.586875,0.58698,54
5267431,2024-11-14 19:10:30,1731611460000000000,1731611460,0.5869,0.586935,0.586865,0.58697,53
5267432,2024-11-14 19:11:00,1731611490000000000,1731611490,0.58694,0.58695,0.58692,0.586975,46
5267433,2024-11-14 19:11:30,1731611520000000000,1731611520,0.586955,0.58696,0.586955,0.58698,32
5267434,2024-11-14 19:12:00,1731611550000000000,1731611550,0.58695,0.586935,0.586935,0.586985,21
5267435,2024-11-14 19:12:30,1731611580000000000,1731611580,0.58696,0.586945,0.586915,0.586965,49
5267436,2024-11-14 19:13:00,1731611610000000000,1731611610,0.58694,0.586925,0.58692,0.586955,16
5267437,2024-11-14 19:13:30,1731611640000000000,1731611640,0.586925,0.5869,0.586895,0.586925,8
5267438,2024-11-14 19:14:00,1731611670000000000,1731611670,0.5869,0.586875,0.586865,0.58695,29
5267439,2024-11-14 19:14:30,1731611700000194538,1731611700,0.586875,0.58688,0.586875,0.5869,20
5267440,2024-11-14 19:15:00,1731611730000000000,1731611730,0.58685,0.586935,0.586845,0.58694,37
5267441,2024-11-14 19:15:30,1731611760000245955,1731611760,0.586935,0.58695,0.58692,0.58695,8
5267442,2024-11-14 19:16:00,1731611790000000000,1731611790,0.586935,0.587015,0.586935,0.587015,23
5267443,2024-11-14 19:16:30,1731611820000000000,1731611820,0.587015,0.58702,0.586995,0.58702,12
5267444,2024-11-14 19:17:00,1731611850000000000,1731611850,0.58702,0.586995,0.58699,0.58702,8
5267445,2024-11-14 19:17:30,1731611880000000000,1731611880,0.586995,0.58706,0.586995,0.587105,22
5267446,2024-11-14 19:18:00,1731611910000105413,1731611910,0.58706,0.587105,0.58706,0.58714,21
5267447,2024-11-14 19:18:30,1731611940000000000,1731611940,0.5871,0.587145,0.587095,0.587155,32
5267448,2024-11-14 19:19:00,1731611970000000000,1731611970,0.58714,0.58717,0.58714,0.587205,39
5267449,2024-11-14 19:19:30,1731612000000000000,1731612000,0.58717,0.587145,0.587135,0.58717,11
5267450,2024-11-14 19:20:00,1731612030001231281,1731612030,0.587145,0.58702,0.58702,0.58716,47
5267451,2024-11-14 19:20:30,1731612060000000000,1731612060,0.58702,0.587025,0.587005,0.58706,38
